date,name,value
2019-01-01,Türkiye,45.91
2020-01-01,Türkiye,44.12
2021-01-01,Türkiye,44.42
2016-01-01,Tuvalu,37.94
2012-01-01,Uganda,47
2017-01-01,Uganda,45.75
2021-01-01,Uganda,44.8
2014-01-01,Ukraine,40
2016-01-01,Ukraine,40
2017-01-01,Ukraine,40
2019-01-01,Ukraine,40
2011-01-01,United Kingdom,35.26
2012-01-01,United Kingdom,35.43
2013-01-01,United Kingdom,35.55
2014-01-01,United Kingdom,35.76
2015-01-01,United Kingdom,35.77
2016-01-01,United Kingdom,35.84
2017-01-01,United Kingdom,35.76
2018-01-01,United Kingdom,35.7
2019-01-01,United Kingdom,35.76
2020-01-01,United Kingdom,32.6
2011-01-01,United States,36.49
2012-01-01,United States,36.62
2013-01-01,United States,36.81
2014-01-01,United States,36.83
2015-01-01,United States,36.79
2016-01-01,United States,36.9
2017-01-01,United States,36.81
2018-01-01,United States,37.07
2019-01-01,United States,37.16
2020-01-01,United States,36.27
2021-01-01,United States,36.9
2018-01-01,Uruguay,43.98
2019-01-01,Vanuatu,36.53
2020-01-01,"Venezuela, Bolivarian Republic of",39.1
2011-01-01,Viet Nam,47.77
2012-01-01,Viet Nam,46.49
2013-01-01,Viet Nam,46.1
2014-01-01,Viet Nam,45.43
2015-01-01,Viet Nam,45.37
2016-01-01,Viet Nam,45.86
2017-01-01,Viet Nam,43.96
2018-01-01,Viet Nam,45.39
2019-01-01,Viet Nam,45.11
2020-01-01,Viet Nam,44.58
2021-01-01,Viet Nam,42.61
2017-01-01,Zambia,45.54
2018-01-01,Zambia,45.1
2019-01-01,Zambia,46.11
2020-01-01,Zambia,44.99
2021-01-01,Zambia,45.43
2014-01-01,Zimbabwe,43.29
2019-01-01,Zimbabwe,44.01
